base_year,sector,industry,year,period_as_on,wri_index,updated_on
2016,Manufacturing Sector,Chemicals & Gases,2024,1st January,189.1,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,119.3,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,129.6,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,141.1,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,180.8,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,170.4,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,87.8,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,274.7,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,248.2,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,191.3,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,123.4,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,127.5,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,169.5,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,160.9,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,234.7,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,130.9,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,192.4,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,212.2,2026-04-29
2016,Manufacturing Sector,Fertilizer,2024,1st January,129.4,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,152.7,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,361.4,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,186.3,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,205.6,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,299.9,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,172.9,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,190.5,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,123.7,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,101.9,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,204.0,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,176.9,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,355.4,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,186.2,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,197.1,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,190.6,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,210.9,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,183.8,2026-04-29
2016,Manufacturing Sector,Drugs & Medicines,2024,1st January,171.0,2026-04-29
2016,Manufacturing Sector,Soaps & Detergents,2024,1st January,151.1,2026-04-29
2016,Manufacturing Sector,Soaps & Detergents,2024,1st January,128.4,2026-04-29
2016,Manufacturing Sector,Soaps & Detergents,2024,1st January,154.4,2026-04-29
